variety,avg points,avg price
Pinot Noir,89.91470622,52.11380229
Chardonnay,88.94383641,39.37197581
Red Blend,88.51247834,35.56724437
Cabernet Sauvignon,88.86717041,49.01630543
Bordeaux-style Red Blend,88.71020317,44.67291806
